portfolio,cagr,vol,sharpe,sortino,max_drawdown,calmar,worst_month,worst_quarter,avg_gross,turnover_per_year,lev_cap_vol_20pct_dd,start,end,years
AW-synthetic,0.07874490437456205,0.10030579361515647,0.6998169451139702,0.8801353291532299,-0.30268087704817037,0.2601581743204416,-0.11277438945964469,-0.12684949882483387,1.7816868545556945,0.5430523041037283,0.16920694295564753,2006-01-01,2026-04-20,20.298425735797398
All Beta (unlev),0.057645599850247864,0.06979336940214467,0.7034534936662381,0.7271128024696026,-0.27585592439547657,0.2089699540677805,-0.13564141940385754,-0.10330979562922793,0.9631827376938638,0.4245754459734244,0.16968153392514468,2006-01-01,2026-04-20,20.298425735797398
All Beta (lev 15%),0.08527299581795678,0.16249548917273735,0.47215947900453,0.5558132630757888,-0.5212017240576869,0.16360843006060108,-0.28008587139768026,-0.32193828438790295,2.2120544012438303,1.1308230633139904,0.14399408640939712,2006-01-01,2026-04-20,20.298425735797398
Lev-constrained (RSSB-style),0.05420644596548896,0.0772130139445519,0.5913152890095107,0.7359065733636506,-0.311307596279634,0.17412503457447817,-0.14673539334304941,-0.11809533031211483,0.9695783926498498,0.46460356933700114,0.15617405249277624,2006-01-01,2026-04-20,20.298425735797398
Campbell's Book,0.0682850209777437,0.07323684475358519,0.8156524338147235,0.8808005734398423,-0.2575763219931858,0.2651059711130986,-0.12497068049929883,-0.09666806686349916,0.979366149696561,0.04926490423523066,0.18575628158599494,2006-01-01,2026-04-20,20.298425735797398
