,AW-synthetic,All Beta (unlev),All Beta (lev 15%),Lev-constrained (RSSB-style),Campbell's Book,SPY,60/40
AW-synthetic,1.0,0.6797812554097364,0.6916997672742982,0.6301803720349519,0.7542384508322558,0.2521158785260951,0.43401996301752394
All Beta (unlev),0.6797812554097364,1.0,0.9615679325356252,0.9951608986145379,0.9424280056197117,0.7819168632173638,0.8476102999466402
All Beta (lev 15%),0.6916997672742982,0.9615679325356252,1.0,0.9568637986026279,0.9162639843168343,0.7729960806553925,0.8343905273290801
Lev-constrained (RSSB-style),0.6301803720349519,0.9951608986145379,0.9568637986026279,1.0,0.9311336365490543,0.8184920912999321,0.8714447799300865
Campbell's Book,0.7542384508322558,0.9424280056197117,0.9162639843168343,0.9311336365490543,1.0,0.7325008056551573,0.8272618793440579
SPY,0.2521158785260951,0.7819168632173638,0.7729960806553925,0.8184920912999321,0.7325008056551573,1.0,0.971850852755292
60/40,0.43401996301752394,0.8476102999466402,0.8343905273290801,0.8714447799300865,0.8272618793440579,0.971850852755292,1.0
